province_name_th,RAW_X1_sum,RAW_X2_uc,RAW_X3_sum,RAW_X4_ipd,RAW_X1_per_capita,RAW_X2_per_capita,RAW_X3_per_capita,RAW_X4_per_capita,Z_X1,Z_X2,Z_X3,Z_X4,R_general,Total_Gap,Penalty,R_final,disease_dm_burden_raw,disease_dm_supply_raw_sum,disease_dm_supply_raw_mean,disease_dm_burden_norm,disease_dm_supply_norm_mean,disease_dm_gap,disease_heart_burden_raw,disease_heart_supply_raw_sum,disease_heart_supply_raw_mean,disease_heart_burden_norm,disease_heart_supply_norm_mean,disease_heart_gap,disease_ht_burden_raw,disease_ht_supply_raw_sum,disease_ht_supply_raw_mean,disease_ht_burden_norm,disease_ht_supply_norm_mean,disease_ht_gap
ชัยภูมิ,3487,584,2466,1414.347945205479,0.016452071017084298,0.0027553798319407026,0.011634874427338652,0.006673057882818409,-1.0130636922554113,0.871076141887485,-0.4998237413585905,0.9407908399655625,-0.1497882986110809,0.7193852265439522,0.03596926132719761,-0.1857575599382785,47940,2632,202.46153846153845,0.4275862745482725,0.04668999623349208,0.38089627831478046,1195,2361,214.63636363636363,0.05859208847299022,0.02660725561284016,0.03198483286015005,87695,2409,240.9,0.351983238893386,0.04547912352436441,0.3065041153690216
ชุมพร,2310,183,1430,1049.61095890411,0.02880909918561291,0.002282279286132971,0.017834204257760375,0.013090193169426313,0.8132090578295978,0.04809414249220378,1.256273681032434,-1.95584784858667,0.39538181722732013,0.35372532585218297,0.017686266292609148,0.37769555093471097,17358,1519,116.84615384615384,0.12759216024798414,0.02720781149766146,0.10038434875032268,2886,1364,124.0,0.14850063802637176,0.02010158748968347,0.1283990505366883,46065,1382,138.2,0.15375458311508977,0.02881265654991777,0.124941926565172
เชียงราย,5732,702,3232,2015.950684931507,0.019442833253621786,0.002381170436853192,0.01096288155542666,0.006838065773665025,-0.571052271703468,0.22012023221754226,-0.6901805996820188,0.8663077226249951,-0.21379018669002878,0.882510303789104,0.044125515189455206,-0.257915701879484,48257,3554,273.38461538461536,0.4306958858959016,0.09147118759842436,0.3392246982974772,3112,2933,266.6363636363636,0.16051680136112292,0.05934544891792231,0.10117135244320061,124049,3009,300.9,0.5250892814627874,0.08297502841436122,0.4421142530484262
เชียงใหม่,12781,868,7785,4808.953424657534,0.028291508120444217,0.0019213699279043565,0.017232563235870295,0.010644906100034164,0.736713120043157,-0.579725689607848,1.0858455417582251,-0.8520666731142205,0.2527299821751314,0.9429757980624951,0.04714878990312476,0.2055811922720066,68879,8452,650.1538461538462,0.6329873849836182,0.21704333683003485,0.4159440481535833,2923,7390,671.8181818181819,0.15046788600595493,0.15818347454241238,0.0,171099,7556,755.6,0.7491262320841865,0.22209448217527475,0.5270317499089118
ตรัง,3153,286,1692,1108.438356164384,0.028986439898873822,0.002629280625143645,0.015555044817283384,0.010190194035066734,0.8394186373249244,0.6517202813804531,0.6106513108531819,-0.6468136278363839,0.5887324387311038,0.2916503738685924,0.01458251869342962,0.5741499200376742,22119,1828,140.6153846153846,0.17429518745953582,0.03993919152831109,0.13435599593122471,137,1640,149.0909090909091,0.002339430029774564,0.023252602092023934,0.0,55305,1677,167.7,0.197752487976763,0.04045811003939537,0.15729437793736764
ตราด,1234,111,753,461.6931506849315,0.02837890669916979,0.002552721753328887,0.017317112434744614,0.010617785127174562,0.749629950898102,0.5185423048258404,1.1097959741871959,-0.8398245034002287,0.5933914163044092,0.04222550385381274,0.002111275192690637,0.5912801411117186,7761,801,61.61538461538461,0.033450393360930725,0.010780489037488107,0.022669904323442618,313,723,65.72727272727273,0.01169715014887282,0.0074619857724950575,0.004235164376377763,19072,735,73.5,0.0252226084472168,0.009902173293224441,0.015320435153992357
ตาก,2714,266,1670,1163.627397260274,0.019741627629549886,0.0019348831796095318,0.012147574849428263,0.008464222098841062,-0.526892784552188,-0.5562187141769287,-0.35458999604759,0.1322749938824562,-0.4353132278952262,0.18716676927363246,0.009358338463681623,-0.4446715663589078,14216,1786,137.3846153846154,0.09677071275823508,0.03950541624841404,0.05726529650982104,1249,1604,145.8181818181818,0.061463207145895364,0.025693975941955317,0.035769231203940044,42189,1634,163.4,0.13529831912766058,0.041166077567789186,0.09413224155987139
นครนายก,1898,103,1037,666.8164383561644,0.046366190301697814,0.0025161841944546233,0.0253328447538781,0.01628964060965346,3.4080107074468953,0.454983398538751,3.3804296151220843,-3.4000504130381723,1.835780184260983,0.18815690532413726,0.009407845266206864,1.8263723389947761,12368,1152,88.61538461538461,0.07864275764650487,0.022821460990928542,0.05582129665557633,2155,989,89.9090909090909,0.10963419821352616,0.016347364994352197,0.09328683321917396,26126,1026,102.6,0.05881148516737298,0.019762709717986,0.03904877544938698
นครปฐม,4929,328,2770,1513.317808219178,0.026233155216826686,0.0017456836906307878,0.014742511655631958,0.008054189684601675,0.4325045541430714,-0.8853406632088199,0.38048330401779934,0.31736003597670037,0.01523228709581248,0.6522736550577836,0.03261368275288918,-0.0173813956570767,38369,3010,231.53846153846155,0.3336995546487218,0.07080945139843157,0.2628901032502902,3910,2593,235.72727272727272,0.20294555508294343,0.05778025031813366,0.14516530476480977,79090,2644,264.4,0.31100899957144895,0.06679075252876536,0.24421824704268358
นครพนม,2335,321,1454,929.4602739726027,0.01872974620592293,0.002574838771777842,0.011662976866557578,0.007455483957171069,-0.6764409967180892,0.5570159616945021,-0.49186310328557187,0.5876105598751951,-0.14308317484847996,0.30671374985732325,0.015335687492866163,-0.1584188623413461,24769,1558,119.84615384615384,0.20029036118577231,0.027889237960878683,0.17240112322489362,1016,1374,124.9090909090909,0.049074861760952784,0.013247517122563812,0.03582734463838897,40061,1399,139.9,0.1251654683110328,0.026680186316992177,0.09848528199404064
นครราชสีมา,11514,949,6994,4488.18904109589,0.020019891224214437,0.001650067463242965,0.012160771167461852,0.007803808962693332,-0.485767587348961,-1.0516698604324561,-0.35085184680924536,0.43037970184862234,-0.5369403922463081,2.4473700289084683,0.12236850144542342,-0.6593088936917315,106293,7474,574.9230769230769,1.0,0.1515799412916788,0.8484200587083213,16383,6702,609.2727272727273,0.8661207996597192,0.11849388982595736,0.7476269098337619,223785,6832,683.2,1.0,0.14867693963361503,0.8513230603663849
นครศรีธรรมราช,6241,730,4024,2626.709589041096,0.023564637562961118,0.002756318766377442,0.015193735227264147,0.009917875252188426,0.038118379092718466,0.872709465177632,0.5083023703912131,-0.5238913133028335,0.3263315339383363,1.0887864513749048,0.054439322568745244,0.2718922113695911,57326,4281,329.3076923076923,0.5196582370367464,0.08546748856673364,0.43419074847001277,4297,3897,354.27272727272725,0.22352190557209697,0.06276660477312414,0.16075530079897282,135724,3955,395.5,0.5806818722917956,0.08684147018587618,0.4938404021059194
นครสวรรค์,4651,473,2537,1736.057534246575,0.019735139240721174,0.002007035231318236,0.010765007149797811,0.00736644531676182,-0.5278517180067552,-0.4307066210248881,-0.746232905848529,0.6278018226531149,-0.4268190724145628,0.812225015923919,0.04061125079619596,-0.4674303232107587,44878,2739,210.69230769230768,0.39754958702007026,0.06404868362788832,0.33350090339218197,2608,2448,222.54545454545453,0.13371969374734155,0.044182771744128574,0.08953692200321298,109262,2502,250.2,0.4546783486500643,0.06549115812154022,0.3891871905285241
นนทบุรี,8387,468,4330,2285.48493150685,0.028296603193025547,0.001578968677040176,0.014608834127316159,0.007710916920291941,0.7374661321823287,-1.1753497456962725,0.34261618461482846,0.47231035655058,0.058135801742073466,0.9267017239311329,0.04633508619655665,0.011800715545516816,44958,4668,359.0769230769231,0.398334346981617,0.09500296793632063,0.3033313790452964,8043,4192,381.09090909090907,0.42269247128881327,0.07304921048834352,0.34964326080046976,90475,4237,423.7,0.3652207037760107,0.09149361969064382,0.27372708408536683
นราธิวาส,2940,285,1637,1172.98904109589,0.022551200429546676,0.002186085755925443,0.012556569762982282,0.008997384682794277,-0.11165975489201957,-0.11923930178425832,-0.238733131981625,-0.10838992885812639,-0.13902131177422294,0.22222994854811495,0.011111497427405748,-0.1501328092016287,15151,1746,134.30769230769232,0.10594259480881285,0.028560836177338914,0.07738175863147394,912,1569,142.63636363636363,0.04354529987239473,0.016716699233777485,0.026828600638617243,44378,1605,160.5,0.14572163230322366,0.027702043025199897,0.11801958927802376
น่าน,2477,254,1316,897.5780821917808,0.021464471403812826,0.00220103986135182,0.011403812824956672,0.007777972982597754,-0.2722698610888141,-0.09322588943032471,-0.5652770557419183,0.44204183707860517,-0.20572693870514622,0.30751352471647375,0.015375676235823688,-0.22110261494096992,19356,1439,110.6923076923077,0.14719154028761453,0.033604188304646836,0.11358735198296768,1385,1263,114.81818181818181,0.06869417269247129,0.02028958747090769,0.0484045852215636,51726,1290,129.0,0.18071044235988762,0.03518885484794517,0.14552158751194244
บึงกาฬ,1273,159,815,514.386301369863,0.015449029126213593,0.001929611650485437,0.009890776699029127,0.00624255220109057,-1.1613054901624749,-0.5653888020511904,-0.9938780357522226,1.135117335767646,-0.719402710254027,0.13698126726241006,0.006849063363120503,-0.7262517736171475,14798,852,65.53846153846153,0.10247984147848777,0.00909578636397563,0.09338405511451213,258,779,70.81818181818181,0.008772862611654615,0.00844633870774495,0.00032652390390966457,24846,785,78.5,0.05271653730774725,0.009445849063758999,0.043270688243988255
บุรีรัมย์,5495,601,3337,2332.890410958904,0.020063384961406736,0.0021943756800373885,0.012184079275016248,0.008517866858570129,-0.479339550935161,-0.10481856526019423,-0.3442493093226567,0.10806021898226219,-0.2812252299184278,0.8681337661635331,0.04340668830817666,-0.3246319182266045,53239,3571,274.6923076923077,0.4795668125012262,0.06744029652557076,0.4121265159756554,2078,3161,287.3636363636364,0.10554019566142067,0.039953495502608814,0.06558670015881185,109429,3237,323.7,0.45547354887862485,0.06505299884955908,0.3904205500290658
ปทุมธานี,6919,409,3987,2564.002739726027,0.023889182367787757,0.001412151407490272,0.013765886703334266,0.008852714126437709,0.086083579556215,-1.46553670752581,0.1038326646282727,-0.04308690625996562,-0.38876973813559895,0.32023944077828204,0.016011972038914104,-0.40478171017451303,32155,4434,341.0769230769231,0.2727433246355771,0.0997388755168753,0.1730044491187018,1088,3715,337.72727272727275,0.05290301999149298,0.05725788016441973,0.0,63391,3857,385.7,0.23625541640874245,0.08902042474916218,0.14723499165958026
ประจวบคีรีขันธ์,2117,162,1484,942.4109589041096,0.020179970640382818,0.001544239604979696,0.014145997369073265,0.008983384733991474,-0.46210909344486856,-1.235762698956935,0.21150742602779402,-0.10207047453330029,-0.5234780093127992,0.3387049495504342,0.01693524747752171,-0.5404132567903209,18466,1597,122.84615384615384,0.1384610857154068,0.029197099137146607,0.1092639865782602,2660,1413,128.45454545454547,0.1364844746916206,0.022208801075929565,0.11427567361569102,43661,1437,143.7,0.14230750916623017,0.027142219809747202,0.11516528935648296
ปราจีนบุรี,2055,188,1162,727.6739726027397,0.01959195347506912,0.0017923538945562017,0.011078272475927162,0.006937496163626082,-0.5490134616269884,-0.8041555154023493,-0.6574935667927759,0.8214257150755989,-0.5102081811224954,0.28692091534918807,0.014346045767459403,-0.5245542268899548,20100,1247,95.92307692307692,0.15448980792999942,0.019433834333798725,0.1350559735962007,814,1127,102.45454545454545,0.03833475116971501,0.012817604107876806,0.025517147061838205,44502,1145,114.5,0.1463120803771249,0.019964285685975757,0.12634779469114915
ปัตตานี,3157,292,1368,1044.567123287671,0.027795386511709808,0.002570875154076422,0.012044374009508717,0.009196752274059437,0.6633902011015654,0.5501210509833256,-0.38382391873419364,-0.19838271416021044,0.33378934057276405,0.1645376598506521,0.008226882992532606,0.32556245758023145,13774,1480,113.84615384615384,0.09243491397068922,0.029655825565028424,0.0627790884056608,903,1321,120.0909090909091,0.0430667800935772,0.02364063809096616,0.01942614200261104,37638,1344,134.4,0.1136279224798819,0.03129549303750163,0.08233242944238028
พระนครศรีอยุธยา,3618,389,2192,1229.917808219178,0.01870067039163897,0.002010658038238684,0.011329980513674025,0.006357182846963482,-0.6807381761522646,-0.42440456766808426,-0.5861916924977122,1.083374065772675,-0.40851757268360606,0.745080150434628,0.03725400752173141,-0.44577158020533747,37942,2349,180.69230769230768,0.32951089835396596,0.05259089424028615,0.2769200041136798,4589,2069,188.0909090909091,0.23904721395151,0.029816047999950426,0.20923116595155955,79217,2111,211.1,0.31161373267939624,0.0526847523100076,0.25892898036938866
พะเยา,2363,336,1170,840.9397260273972,0.02521501589943872,0.0035853767846853193,0.012484794160957808,0.008973469556601972,0.28203147390267874,2.3148972444303606,-0.2590651603062362,-0.09759485026366291,0.7457092458025663,0.4521521187891082,0.022607605939455412,0.7231016398631108,20652,1270,97.6923076923077,0.15990465166467208,0.027224520739898467,0.1326801309247736,3375,1045,95.0,0.17450021267545726,0.01415324634303321,0.16034696633242404,51693,1072,107.2,0.18055330698538166,0.021428285453471124,0.15912502153191055
พังงา,1355,138,726,397.241095890411,0.033806541752950274,0.0034430278685661534,0.018113320525934982,0.009910957707901773,1.5517922395113657,2.0672742039633722,1.3353395433912183,-0.5207687943725706,1.4558901862345446,0.12037287484603879,0.006018643742301939,1.4498715424922426,10495,791,60.84615384615385,0.06026956504679131,0.012951083413152847,0.047318481633638464,830,707,64.27272727272727,0.039185452998723946,0.008824507735232275,0.030360945263491673,25147,719,71.9,0.054149802390362364,0.011456354441453716,0.04269344794890865
พัทลุง,2253,244,1149,785.8684931506849,0.026136284540961927,0.0028305607758520685,0.01332915709612306,0.009116592342993028,0.41818782092847095,1.0018571441181303,-0.019880665438772527,-0.1621992230495875,0.4476362162141142,0.46151984186901807,0.023075992093450903,0.4245602241206633,20632,1256,96.61538461538461,0.15970846167428537,0.020764098554015217,0.13894436312027014,3518,1113,101.18181818181819,0.1821033602722246,0.013174669981034616,0.16892869029118998,49912,1130,113.0,0.17207275844007427,0.018425969982516267,0.153646788457558
พิจิตร,2187,258,1209,910.8219178082192,0.016673273969260795,0.0019669431568675286,0.009217187118809466,0.006943933869604013,-0.9803716146548148,-0.5004487844692672,-1.1846871970535708,0.8185197909570727,-0.697368741517713,0.3841098972537894,0.019205494862689472,-0.7165742363804025,24396,1322,101.6923076923077,0.19663141786506053,0.031238076831758617,0.16539334103330192,1010,1160,105.45454545454545,0.04875584857507444,0.01728086989200437,0.031474978683070066,59869,1198,119.8,0.219484786438741,0.032243208901323595,0.1872415775374174
พิษณุโลก,5636,449,3038,1839.26301369863,0.023810127330950632,0.0018968678444990833,0.012834486662779988,0.007770242468288214,0.07439985936366005,-0.6223482859436734,-0.16000701726860025,0.44553132355992536,-0.14439281313536553,0.6657864585972364,0.03328932292986182,-0.17768213606522737,42205,3392,260.9230769230769,0.37132879480488906,0.09002152438592045,0.28130727041896864,3408,2873,261.1818181818182,0.17625478519778817,0.06955037444350566,0.10670441075428251,90110,2951,295.1,0.3634826913004143,0.08570791387642901,0.27777477742398526
เพชรบุรี,2103,254,1153,666.3972602739726,0.01902754152944157,0.0022981433896710215,0.010432123339727118,0.0060294348763524,-0.6324291617503618,0.07569054195538359,-0.8405296148173242,1.231316630385237,-0.2752387620384708,0.24141789938552094,0.012070894969276047,-0.28730965700774685,17889,1241,95.46153846153847,0.13280100449275078,0.02407246967228641,0.10872853482046438,562,1080,98.18181818181819,0.02493619736282433,0.013807090642447124,0.011129106720377206,43936,1101,110.1,0.14361697062044665,0.022056712775767286,0.12156025784467936
เพชรบูรณ์,3128,555,1822,1396.682191780822,0.013264860417877028,0.0023535797736322734,0.00772652675235676,0.005922888210392314,-1.4841086544202455,0.1721248972228935,-1.6069497478122194,1.2794108626200347,-0.7354548559016706,0.8271988335733855,0.04135994167866928,-0.7768147975803399,39910,1930,148.46153846153845,0.34881599340801633,0.028134181909729425,0.3206818114982869,3973,1774,161.27272727272728,0.2062951935346661,0.02035280507816813,0.18594238845649796,86930,1797,179.7,0.3483405552116566,0.027765921593056,0.32057463361860056
แพร่,2206,317,1166,760.4904109589041,0.02315621522893792,0.0033275250351646967,0.01223941385174144,0.007982810351635464,-0.022243268463637042,1.866351263563337,-0.3285745654044744,0.34958004197602444,0.5202511628002539,0.5006110586761,0.025030552933805003,0.49522060986644884,23174,1250,96.15384615384616,0.18464420945243373,0.021988208310653717,0.16265600114178003,3078,1069,97.18181818181819,0.15870905997447896,0.01227415801012967,0.14643490196434927,57752,1087,108.7,0.2094043140802819,0.017884158510311214,0.19152015556997068
ภูเก็ต,3136,176,1663,1119.271232876712,0.031081817731304823,0.0017443877298181278,0.016482481787997424,0.011093426164594003,1.1490992000225968,-0.8875950516896446,0.8733683654787903,-1.054524703616914,0.26258236723621203,0.01361652682361525,0.0006808263411807625,0.26190154089503126,9461,1805,138.84615384615384,0.05012654254379942,0.03651001572018417,0.01361652682361525,177,1621,147.36363636363637,0.004466184602296895,0.0322523898279639,0.0,19089,1649,164.9,0.025303556973477453,0.031940244887832904,0.0
มหาสารคาม,3592,504,1885,1262.991780821918,0.020343321874168173,0.0028544081916984294,0.010675713177284801,0.007152964454813234,-0.437967050318776,1.043340913578047,-0.7715274004559379,0.7241652147848437,0.05592649533320043,0.6799700645215149,0.03399850322607575,0.021927992107124684,40792,2050,157.69230769230768,0.3574679719840694,0.043871233893841476,0.3135967380902279,3779,1770,160.9090909090909,0.1959804338579328,0.03039210360774931,0.1655883302501835,64846,1808,180.8,0.24318365792105137,0.0423986617399479,0.20078499618110346
มุกดาหาร,1555,167,898,602.4739726027398,0.015352262854434879,0.0016487639207013664,0.008865808387963036,0.005948127839455215,-1.1756067932643701,-1.0539374377089739,-1.2842230017940115,1.2680179150253532,-0.9164667574747073,0.06457506664769641,0.0032287533323848206,-0.9196955108070921,10852,956,73.53846153846153,0.06377155637519374,0.014467065061015166,0.04930449131417858,271,841,76.45454545454545,0.009464057847724373,0.010117312179440499,0.0,20037,857,85.7,0.029817627732012762,0.014547052398494928,0.015270575333517835
แม่ฮ่องสอน,1072,107,617,387.2356164383561,0.016740583421825224,0.0016709350990068087,0.009635205197076644,0.006047154982171842,-0.9704238005554161,-1.0153695670682632,-1.0662743218173611,1.2233179297518009,-0.7837034617309375,0.013560521646137823,0.0006780260823068912,-0.7843814878132445,4351,669,51.46153846153846,0.0,0.009689536870222313,0.0,482,591,53.72727272727273,0.020682688217779667,0.007122166571641843,0.013560521646137823,14619,604,60.4,0.004018856244940717,0.009928896449692165,0.0
ยะลา,2689,226,1292,970.7561643835616,0.031623760746080844,0.002657854194352648,0.015194458491608942,0.011416497093807688,1.2291941667480968,0.701425430372273,0.5085072510293378,-1.2003560926885872,0.6837711367479294,0.10286305052657822,0.005143152526328912,0.6786279842216005,10278,1395,107.3076923076923,0.05814090365109572,0.024193333526143515,0.033947570124952205,919,1240,112.72727272727273,0.043917481922586134,0.01855116045811879,0.025366321464467344,27665,1258,125.8,0.06613970763296986,0.02259054869581119,0.043549158937158675
ยโสธร,2020,285,1101,777.8712328767124,0.019688492953079006,0.0027778319265482757,0.010731203337297024,0.007581738755889124,-0.5347456768819547,0.9101326804488712,-0.755808584127222,0.5306202490514053,-0.03895815853842444,0.27914090060195984,0.013957045030097993,-0.05291520356852243,20848,1167,89.76923076923077,0.16182731357046162,0.01778566734070974,0.14404164622975188,1282,1038,94.36363636363636,0.06321777966822628,0.009756875227325164,0.05346090444090112,34504,1056,105.6,0.09870482357982953,0.01706647364852269,0.08163834993130684
ระนอง,855,77,431,292.041095890411,0.018879173290938,0.001700229641406112,0.009516869810987458,0.006448531529111707,-0.6543568345906066,-0.9644102492471709,-1.0997954397725787,1.042140070377406,-0.6668108895271689,0.010499797962098227,0.0005249898981049114,-0.6673358794252738,5009,474,36.46153846153846,0.006454650683722116,0.006831137198066675,0.0,351,421,38.27272727272727,0.013717566992769034,0.0032177690306708067,0.010499797962098227,13775,436,43.6,0.0,0.00714074878608606,0.0
ระยอง,4087,370,2472,1629.123287671233,0.02528020387460722,0.002288640918425415,0.01529059554148007,0.01007696815493006,0.29166575012668694,0.0591605192060891,0.535740198798384,-0.5957044567965081,0.18199204989252749,0.3617803844549009,0.018089019222745046,0.16390303066978243,23483,2634,202.6153846153846,0.1876753448039081,0.049674846013172076,0.13800049879073603,2846,2400,218.1818181818182,0.1463738834538494,0.042531566249353676,0.10384231720449574,49171,2435,243.5,0.16854435503071283,0.04860678657104366,0.11993756845966916
ราชบุรี,4310,282,2785,1765.827397260274,0.024355511352719794,0.0015935624597371188,0.01573784202258112,0.009978568264713746,0.15500338018636844,-1.1499631327043878,0.662432666229429,-0.551287607810216,-0.20562981527190477,0.6753876306584998,0.03376938153292499,-0.23939919680482977,38407,2953,227.15384615384616,0.33407231563045653,0.04262915388595848,0.291443161744498,2306,2648,240.72727272727272,0.11766269672479795,0.04329047447846967,0.07437222224632828,87429,2675,267.5,0.3507166325413076,0.04114438587363413,0.30957224666767347
ร้อยเอ็ด,4731,903,2827,1800.698630136986,0.01965590736670669,0.003751698235496965,0.011745349846899136,0.0074813708453452185,-0.5395615733601117,2.60422170483147,-0.46852913293564497,0.5759254451842276,0.52932860003669,0.88632263722939,0.0443161318614695,0.48501246817522053,52515,3018,232.15384615384616,0.472464734849228,0.06437566892807621,0.4080890659211518,3852,2633,239.36363636363637,0.19986176095278604,0.04181917945058793,0.1580425815021981,94579,2690,269.0,0.38476263035093566,0.06457164054489553,0.3201909898060401
ลพบุรี,3046,300,2090,1285.709589041096,0.01842799409529802,0.0018149698715001332,0.01264429010478426,0.007778413892028023,-0.7210376140761712,-0.7648138953418253,-0.21388440311196993,0.44184281442179285,-0.5164518134132308,0.5289005456465492,0.026445027282327463,-0.5428968406955582,31685,2231,171.6153846153846,0.2681328598614899,0.04241393226331309,0.2257189275981768,2407,1990,180.9090909090909,0.12303275202041684,0.03943679602188124,0.0835959559985356,68165,2018,201.8,0.2589876672539403,0.039402005204103495,0.2195856620498368
